organism_id,ShootArea,distFromHypocotyl,chlorophyll,Root_area,tortuosity,PR_length,LR_length,plant_id
363,0.025,0.437,0.208,0.028,1.055,0.886,2,J1_9
364,0.194,2.319,3.710,0.256,1.055,5.572,14.14,J1_10
365,0.096,2.319,1.527,0.256,1.074,4.439,14.14,J1_11
366,0.217,2.319,4.033,0.256,1.078,9.76,14.14,J1_12
367,0.115,2.319,2.008,0.256,1.064,7.81,14.14,J1_13
368,0.168,2.319,3.208,0.256,1.087,9.874,14.14,J1_14
369,0.148,2.770,2.617,0.344,1.066,9.245,18,J1_15
370,0.327,1.910,6.648,0.264,1.076,8.27,17.5,J1_16
371,0.082,2.095,1.330,0.218,1.063,7.428,14,J1_17
372,0.151,2.127,3.343,0.219,1.096,7.541,11,J1_18
373,0.086,0.000,1.749,0.046,1.058,2.574,1,J1_19
374,0.172,1.231,3.721,0.155,1.077,6.336,5,J1_20
375,0.134,1.901,2.174,0.163,1.073,6.312,7.67,J2_1
376,0.162,1.640,2.604,0.163,1.047,6.817,11,J2_2
377,0.164,1.973,2.180,0.213,1.056,5.842,12.33,J2_3
378,0.172,1.973,1.964,0.213,1.101,7.128,12.33,J2_4
379,0.096,0.950,0.985,0.230,1.082,4.425,13,J2_5
380,0.255,1.697,3.351,0.345,1.056,6.724,17,J2_6
381,0.140,1.737,1.527,0.229,1.076,6.185,13,J2_7
382,0.223,0.887,2.591,0.208,1.070,6.644,9,J2_8
383,0.047,0.432,0.446,0.122,1.067,2.7,4,J2_9
384,0.106,0.941,0.959,0.153,1.097,4.181,11,J2_10
385,0.087,2.960,0.600,0.259,1.083,9.428,13,J2_11
386,0.120,2.270,0.772,0.407,1.071,10.078,26,J2_12
387,0.129,2.377,0.641,0.328,1.083,8.239,22,J2_13
388,0.017,0.851,0.042,0.046,1.056,1.617,2,J2_14
389,0.116,2.266,1.029,0.402,1.079,7.803,24,J2_15
390,0.100,2.129,0.988,0.293,1.080,6.602,17,J2_16
391,0.124,1.973,1.461,0.213,1.080,10.014,12.33,J2_17
392,0.105,2.158,1.189,0.216,1.078,6.586,11,J2_18
393,0.103,1.901,1.078,0.163,1.113,5.849,7.67,J2_19
394,0.180,1.901,2.364,0.163,1.089,3.35,7.67,J2_20
395,0.132,1.672,2.084,0.141,1.044,6.833,9,J3_1
396,0.250,1.824,4.423,0.301,1.076,6.221,14.5,J3_2
397,0.146,1.824,2.389,0.301,1.090,7.038,14.5,J3_3
398,0.072,1.824,0.994,0.301,1.099,5.911,14.5,J3_4
399,0.165,2.561,2.763,0.210,1.112,5.239,11.5,J3_5
400,0.191,1.759,2.906,0.133,1.075,7.106,8,J3_6
401,0.058,0.538,0.849,0.068,1.123,1.889,2,J3_7
402,0.153,1.535,2.392,0.157,1.081,5.573,13,J3_8
403,0.123,3.139,2.221,0.159,1.065,6.997,7.5,J3_9
404,0.083,2.172,1.424,0.173,1.091,6.974,10.5,J3_10
405,0.122,0.228,2.352,0.073,1.068,4.079,4,J3_11
406,0.018,0.882,0.236,0.088,1.140,2.561,4,J3_12
407,0.247,0.882,4.640,0.088,1.086,4.541,4,J3_13
408,0.118,2.172,2.124,0.173,1.055,10.033,10.5,J3_14
409,0.071,3.139,0.815,0.159,1.105,7.492,7.5,J3_15
410,0.116,0.000,1.786,0.139,1.090,5.672,9,J3_16
411,0.075,1.759,1.428,0.133,1.075,5.355,8,J3_17
412,0.283,2.879,5.276,0.215,1.099,8.98,14,J3_18
413,0.109,2.561,2.033,0.210,1.085,10.475,11.5,J3_19
414,0.231,1.824,3.845,0.301,1.123,9.164,14.5,J3_20
415,0.013,0.000,0.297,0.013,1.082,0.438,1,K1_1
416,0.004,0.000,0.107,0.006,1.031,0.103,1,K1_2
417,0.010,0.244,0.277,0.033,1.116,1.273,2,K1_3
418,0.009,0.000,0.206,0.009,1.704,0.477,0,K1_4
419,0.041,0.428,1.115,0.058,1.095,2.799,2,K1_5
420,0.011,0.000,0.276,0.022,1.083,1.016,1,K1_6
421,0.006,0.000,0.157,0.006,1.168,0.18,1,K1_7
422,0.003,0.000,0.077,0.007,1.054,0.37,0,K1_8
423,0.011,0.000,0.211,0.012,1.071,0.503,0,K1_9
424,0.009,0.000,0.177,0.009,1.147,0.592,1,K1_10
425,0.010,0.000,0.183,0.006,1.077,0.26,1,K1_11
426,0.006,0.000,0.115,0.005,1.068,0.2,0,K1_12
427,0.009,0.000,0.181,0.001,1.049,0.085,0,K1_13
428,0.010,0.000,0.220,0.008,1.256,0.493,0,K1_14
429,0.012,0.428,0.226,0.058,1.759,0.431,2,K1_15
430,0.012,0.000,0.209,0.009,1.043,0.571,0,K1_16
431,0.009,0.000,0.188,0.010,1.800,0.577,0,K1_17
432,0.023,0.000,0.479,0.061,1.142,1.573,1,K2_1
433,0.012,0.000,0.259,0.030,1.074,1.336,1,K2_2
434,0.014,0.000,0.187,0.009,1.327,0.638,1,K2_3
435,0.006,0.000,0.114,0.008,1.269,0.376,0,K2_4
436,0.010,0.000,0.221,0.017,1.153,0.494,1,K2_5
437,0.034,0.546,0.814,0.085,1.060,2.308,5,K2_6
438,0.006,0.000,0.120,0.026,1.081,1.318,0,K2_7
439,0.009,0.000,0.176,0.018,1.136,0.874,1,K2_8
440,0.008,0.000,0.129,0.008,1.094,0.362,1,K2_9
441,0.012,0.000,0.168,0.007,1.203,0.244,1,K2_10
442,0.008,0.000,0.153,0.009,1.112,0.283,1,K2_11
443,0.008,0.000,0.122,0.007,1.071,0.176,1,K2_12
444,0.012,0.000,0.209,0.029,1.106,1.294,1,K2_13
445,0.012,0.000,0.185,0.007,1.082,0.321,1,K2_14
446,0.031,0.031,0.684,0.048,1.103,1.44,2,K2_15
447,0.010,0.072,0.145,0.034,1.119,1.081,3,K2_16
448,0.010,0.000,0.187,0.012,1.045,0.491,0,K2_17
449,0.007,0.000,0.118,0.004,1.028,0.231,0,K2_18
450,0.044,2.240,0.873,0.096,1.172,5.247,2,L1_1
451,0.070,1.560,1.570,0.159,1.212,7.548,3.5,L1_2
452,0.059,1.560,1.431,0.159,1.196,7.609,3.5,L1_3
453,0.085,1.153,1.648,0.145,1.157,6.224,5,L1_4
454,0.120,1.410,2.599,0.202,1.348,4.782,9.2,L1_5
455,0.072,1.410,1.372,0.202,1.393,7.511,9.2,L1_6
456,0.081,1.410,1.727,0.202,1.165,5.8,9.2,L1_7
457,0.051,1.410,1.029,0.202,1.134,6.883,9.2,L1_8
458,0.049,1.410,1.055,0.202,1.171,5.168,9.2,L1_9
459,0.127,1.547,2.476,0.233,1.178,4.428,11,L1_10
460,0.048,1.547,0.904,0.233,1.156,6.876,11,L1_11
461,0.086,1.739,1.440,0.128,1.136,4.823,5,L1_12
462,0.090,2.523,1.650,0.312,1.230,7.438,16.5,L1_13
463,0.166,1.217,2.844,0.114,1.206,3.568,4,L1_14
464,0.145,2.523,2.969,0.312,1.161,10.336,16.5,L1_15
465,0.069,1.517,1.472,0.210,1.175,7.06,8,L1_16
466,0.075,1.547,1.727,0.233,1.157,7.818,11,L1_17
467,0.037,0.000,0.900,0.128,1.160,8.181,1,L2_1
468,0.031,0.000,0.611,0.128,1.205,4.471,1,L2_2
469,0.060,1.833,1.220,0.158,1.097,6.329,8,L2_3
470,0.061,1.841,1.284,0.295,1.144,10.197,12.5,L2_4
471,0.117,1.841,2.587,0.295,1.142,7.554,12.5,L2_5
472,0.102,1.502,1.875,0.268,1.149,8.743,11,L2_6
473,0.075,1.846,1.159,0.296,1.336,7.342,12,L2_7
474,0.066,0.390,1.145,0.116,1.297,3.895,3,L2_8
475,0.141,1.939,2.131,0.270,1.193,8.365,10,L2_9
476,0.052,0.926,0.698,0.051,1.144,1.698,2,L2_10
477,0.094,2.017,1.383,0.230,1.184,6.181,9,L2_11
478,0.011,0.000,0.101,0.004,1.237,0.13,0,M1_1
479,0.015,0.000,0.138,0.007,1.036,0.436,0,M1_2
480,0.011,0.000,0.134,0.005,1.058,0.095,0,M1_3
481,0.030,0.000,0.457,0.021,1.066,1.023,1,M1_4
482,0.018,0.000,0.265,0.029,1.213,0.93,1,M1_5
483,0.016,0.000,0.167,0.013,1.093,0.406,1,M1_6
484,0.021,0.000,0.218,0.028,1.122,1.017,1,M1_7
485,0.005,0.000,0.036,0.006,1.049,0.085,1,M1_8
486,0.151,1.123,2.232,0.183,1.078,7.072,6,M1_9
487,0.013,0.000,0.138,0.007,1.010,0.339,0,M1_10
488,0.016,0.000,0.127,0.012,1.057,0.31,1,M1_11
489,0.020,0.000,0.215,0.023,1.144,0.952,0,M1_12
490,0.014,0.000,0.371,0.005,1.073,0.132,0,M1_13
491,0.139,0.503,1.976,0.169,1.123,4.553,3,M1_14
492,0.012,0.000,0.126,0.005,1.068,0.298,0,M1_15
493,0.027,0.000,0.427,0.040,1.085,2.068,0,M1_16
494,0.015,0.000,0.193,0.014,1.274,0.611,0,M2_1
495,0.014,0.000,0.147,0.010,1.077,0.174,1,M2_2
496,0.010,0.000,0.110,0.011,1.367,0.225,1,M2_3
497,0.057,0.000,0.722,0.072,1.060,3.342,1,M2_4
498,0.010,0.000,0.081,0.005,1.033,0.066,1,M2_5
499,0.031,0.261,0.373,0.056,1.066,2.266,2,M2_6
500,0.044,1.152,0.509,0.064,1.135,2.636,2,M2_7
501,0.014,0.000,0.133,0.012,1.080,0.295,2,M2_8
502,0.015,0.000,0.178,0.023,1.054,0.905,1,M2_9
503,0.017,0.000,0.163,0.017,1.102,0.483,1,M2_10
504,0.012,0.000,0.140,0.004,1.000,0.068,0,M2_11
505,0.012,0.000,0.149,0.014,1.033,0.478,1,M2_12
506,0.017,0.000,0.211,0.020,1.034,0.745,1,M2_13
507,0.009,0.000,0.115,0.012,1.043,0.583,1,M2_14
508,0.160,1.269,3.600,0.219,1.237,7.792,8,N1_1
509,0.006,0.000,0.119,0.026,1.269,1.35,0,N1_2
510,0.066,1.171,1.366,0.169,1.117,5.431,5.67,N1_3
511,0.019,0.000,0.373,0.047,1.197,1.893,1,N1_4
512,0.200,1.171,4.810,0.169,1.110,8.56,5.67,N1_5
513,0.066,1.171,1.298,0.169,1.178,4.958,5.67,N1_6
514,0.279,1.980,6.256,0.218,1.122,10.726,9.5,N1_7
515,0.069,1.980,1.519,0.218,1.136,4.12,9.5,N1_8
516,0.120,1.980,2.680,0.218,1.175,9.264,9.5,N1_9
517,0.059,1.980,1.557,0.218,1.195,5.578,9.5,N1_10
518,0.222,2.158,5.066,0.248,1.198,8.648,14,N1_11
519,0.074,2.158,1.673,0.248,1.136,6.077,14,N1_12
520,0.170,2.158,3.965,0.248,1.319,8.923,14,N1_13
521,0.096,2.158,2.141,0.248,1.207,8.254,14,N1_14
522,0.020,0.113,0.453,0.069,1.131,2.468,4,N1_15
523,0.128,1.980,3.033,0.218,1.178,7.336,9.5,N1_16
524,0.174,2.158,4.268,0.248,1.211,7.105,14,N1_17
525,0.120,1.980,2.884,0.218,1.159,5.618,9.5,N1_18
526,0.130,2.100,3.229,0.219,1.128,10.47,5.5,N2_1
527,0.155,2.144,3.720,0.144,1.108,6.383,4,N2_2
528,0.069,2.100,1.460,0.219,1.121,7.256,5.5,N2_3
529,0.051,2.100,1.301,0.219,1.145,6.068,5.5,N2_4
530,0.143,2.100,2.980,0.219,1.385,10.057,5.5,N2_5
531,0.078,0.337,1.611,0.043,1.487,2.12,2,N2_6
532,0.111,1.935,2.330,0.216,1.166,8.314,10.5,N2_7
533,0.025,1.935,0.583,0.216,1.125,6.872,10.5,N2_8
534,0.118,1.971,2.622,0.246,1.154,8.864,9,N2_9
535,0.162,2.167,3.003,0.180,1.131,5.391,5.5,N2_10
536,0.111,2.167,2.631,0.180,1.120,7.444,5.5,N2_11
537,0.371,2.482,8.099,0.241,1.125,8.845,11,N2_12
538,0.107,2.482,2.133,0.241,1.100,10.398,11,N2_13
539,0.089,2.186,1.968,0.150,1.149,7.745,8.5,N2_14
540,0.106,2.186,2.328,0.150,1.156,3.295,8.5,N2_15
541,0.126,2.482,2.882,0.241,1.284,1.072,11,N2_16
542,0.041,2.482,0.802,0.241,1.115,6.838,11,N2_17
543,0.020,0.000,0.276,0.037,1.089,1.347,1,O1_1
544,0.009,0.000,0.136,0.011,1.069,0.231,1,O1_2
545,0.021,0.142,0.269,0.021,1.078,0.584,2,O1_3
546,0.061,1.042,1.057,0.121,1.070,3.874,4,O1_4
547,0.008,0.000,0.146,0.009,1.046,0.155,0,O1_5
548,0.019,0.000,0.240,0.006,1.018,0.188,0,O1_6
549,0.136,1.454,2.152,0.121,1.047,5.987,4,O1_7
550,0.034,1.454,0.388,0.121,1.131,0.803,4,O1_8
551,0.028,0.000,0.293,0.031,1.068,0.955,0,O1_9
552,0.019,0.000,0.209,0.021,1.126,0.55,1,O1_10
553,0.013,0.000,0.176,0.031,1.080,0.896,0,O1_11
554,0.021,0.000,0.285,0.014,1.054,0.465,1,O1_12
555,0.096,2.207,1.959,0.217,1.083,6.41,8,O1_13
556,0.013,0.000,0.161,0.023,1.059,0.46,2,O1_14
557,0.025,0.000,0.276,0.057,1.058,2.292,1,O1_15
558,0.046,0.000,0.860,0.080,1.073,3.073,3,O1_16
559,0.020,0.000,0.267,0.019,1.082,0.303,1,O1_17
560,0.012,0.000,0.192,0.013,1.157,0.455,0,O2_1
561,0.014,0.000,0.159,0.022,1.058,0.191,1,O2_2
562,0.091,1.733,1.648,0.126,1.095,4.779,5,O2_3
563,0.028,0.000,0.482,0.017,1.055,0.957,0,O2_4
564,0.020,0.000,0.293,0.013,1.082,0.218,0,O2_5
565,0.012,0.000,0.159,0.027,1.221,0.809,0,O2_6
566,0.022,0.000,0.291,0.015,1.065,0.415,0,O2_7
567,0.025,0.000,0.273,0.043,1.073,1.35,1,O2_8
568,0.008,1.871,0.119,0.161,1.071,5.374,9,O2_9
569,0.019,0.000,0.219,0.015,1.104,0.254,1,O2_10
570,0.017,0.000,0.186,0.015,1.060,0.414,1,O2_11
571,0.030,0.000,0.382,0.025,1.143,0.821,0,O2_12
572,0.166,0.000,2.547,0.029,1.091,0.701,2,O2_13
573,0.023,0.000,0.215,0.023,1.071,0.524,1,O2_14
574,0.016,0.000,0.155,0.008,1.086,0.123,1,O2_15
575,0.034,0.000,0.353,0.012,1.077,0.369,1,O2_16
576,0.028,0.000,0.325,0.016,1.120,0.894,0,O2_17
577,0.018,0.000,0.279,0.029,1.082,0.839,2,P1_1
578,0.194,2.299,3.786,0.211,1.087,10.159,8.33,P1_2
579,0.046,2.299,1.021,0.211,1.131,5.238,8.33,P1_3
580,0.015,0.000,0.181,0.027,1.093,0.507,1,P1_4
581,0.028,0.440,0.330,0.052,1.085,1.05,4,P1_5
582,0.143,2.553,2.544,0.297,1.132,9.552,12.33,P1_6
583,0.009,2.553,0.099,0.297,1.122,9.191,12.33,P1_7
584,0.092,0.000,1.813,0.004,1.301,0.113,0,P1_8
585,0.006,1.435,0.111,0.256,1.140,5.188,12,P1_9
586,0.039,0.027,0.798,0.037,1.123,0.921,2,P1_10
587,0.017,1.929,0.228,0.392,1.216,7.364,22,P1_11
588,0.172,2.553,3.299,0.297,1.128,4.002,12.33,P1_12
589,0.040,0.000,0.505,0.016,1.087,0.335,1,P1_13
590,0.160,2.299,2.841,0.211,1.105,6.834,8.33,P1_14
591,0.021,0.025,0.336,0.034,1.076,0.783,2,P1_15
592,0.110,2.307,1.883,0.273,1.153,6.687,13,P1_16
593,0.077,2.555,0.531,0.102,1.203,6.266,2.5,Q1_1
594,0.049,2.555,0.335,0.102,1.227,1.833,2.5,Q1_2
595,0.173,0.468,1.130,0.033,1.113,0.77,2,Q1_3
596,0.053,2.672,0.366,0.311,1.200,9.815,16,Q1_4
597,0.171,2.672,1.197,0.311,1.135,8.39,16,Q1_5
598,0.265,2.672,2.147,0.311,1.350,7.701,16,Q1_6
599,0.075,2.303,0.837,0.340,1.187,7.069,15,Q1_7
600,0.029,1.534,0.187,0.124,1.254,4.894,6,Q1_8
601,0.103,2.318,0.856,0.229,1.233,7.822,12,Q1_9
602,0.064,2.664,0.481,0.283,1.191,8.233,14,Q1_10
603,0.021,2.392,0.157,0.279,1.203,8.044,11.5,Q1_11
604,0.107,2.392,0.845,0.279,1.120,6.691,11.5,Q1_12
605,0.153,2.794,1.158,0.258,1.252,10.452,14.33,Q1_13
606,0.094,2.794,0.818,0.258,1.108,2.578,14.33,Q1_14
607,0.191,2.794,2.053,0.258,1.179,7.307,14.33,Q1_15
608,0.160,2.794,1.107,0.258,1.160,8.576,14.33,Q1_16
609,0.059,2.794,0.336,0.258,1.164,3.058,14.33,Q1_17
610,0.156,2.794,1.526,0.258,1.167,4.906,14.33,Q1_18
611,0.043,1.948,0.406,0.164,1.149,6.146,8,Q2_1
612,0.134,1.948,0.930,0.164,1.086,1.614,8,Q2_2
613,0.165,2.847,1.271,0.546,1.171,9.907,28,Q2_3
614,0.226,2.847,1.787,0.546,1.179,10.207,28,Q2_4
615,0.011,0.000,0.085,0.017,1.060,0.993,1,Q2_5
616,0.101,2.880,0.785,0.508,1.168,9.264,22.43,Q2_6
617,0.065,2.880,0.594,0.508,1.063,1.201,22.43,Q2_7
618,0.150,2.880,1.208,0.508,1.168,9.884,22.43,Q2_8
619,0.093,2.880,0.827,0.508,1.202,10.7,22.43,Q2_9
620,0.131,2.880,1.111,0.508,1.246,8.94,22.43,Q2_10
621,0.123,2.880,1.005,0.508,1.220,4.095,22.43,Q2_11
622,0.158,2.880,1.465,0.508,1.242,11.152,22.43,Q2_12
623,0.124,1.935,1.148,0.154,1.102,5.735,6.67,Q2_13
624,0.104,1.935,0.924,0.154,1.335,4.635,6.67,Q2_14
625,0.107,1.935,0.865,0.154,1.288,5.703,6.67,Q2_15
626,0.008,0.000,0.050,0.013,1.327,0.296,1,R1_1
627,0.171,0.888,1.526,0.133,1.128,5.412,5,R1_2
628,0.018,0.888,0.153,0.133,1.118,2.807,5,R1_3
629,0.074,0.888,0.540,0.133,1.107,4.682,5,R1_4
630,0.059,0.888,0.510,0.133,1.154,3.533,5,R1_5
631,0.114,0.888,1.031,0.133,1.100,3.988,5,R1_6
632,0.007,0.000,0.049,0.026,1.088,0.738,1,R1_7
633,0.007,0.000,0.027,0.011,1.068,0.301,0,R1_8
634,0.168,1.800,1.534,0.108,1.097,7.427,7.33,R1_9
635,0.016,1.800,0.116,0.108,1.119,0.425,7.33,R1_10
636,0.050,1.800,0.440,0.108,1.267,2.012,7.33,R1_11
637,0.097,1.347,0.828,0.172,1.102,4.054,10,R1_12
638,0.306,1.892,3.637,0.223,1.123,7.383,17,R1_13
639,0.203,1.892,1.784,0.223,1.088,5.232,17,R1_14
640,0.241,0.886,1.919,0.073,1.135,2.31,6,R1_15
641,0.103,1.091,0.965,0.140,1.202,4.117,12,R2_1
642,0.018,0.000,0.166,0.028,1.081,0.973,1,R2_2
643,0.024,0.382,0.284,0.028,1.075,0.816,2,R2_3
644,0.017,0.000,0.159,0.021,1.069,0.477,1,R2_4
645,0.009,0.000,0.069,0.015,1.155,0.481,0,R2_5
646,0.029,0.447,0.277,0.067,1.090,1.043,5,R2_6
647,0.195,1.434,2.264,0.295,1.132,5.066,13,R2_7
648,0.113,2.384,1.167,0.133,1.146,6.869,9,R2_8
649,0.072,2.384,0.742,0.133,1.132,1.221,9,R2_9
650,0.027,2.384,0.353,0.133,1.037,0.461,9,R2_10
651,0.003,0.052,0.077,0.039,1.165,0.48,3,R2_11
652,0.015,0.000,0.100,0.010,1.055,0.257,0,R2_12
653,0.017,0.000,0.117,0.011,1.057,0.341,0,R2_13
654,0.022,0.000,0.202,0.028,1.134,0.437,2,R2_14
655,0.246,2.211,3.575,0.277,1.158,7.435,12,R2_15
656,0.057,1.294,0.646,0.111,1.084,3.596,7,R2_16
657,0.030,0.216,0.305,0.034,1.080,0.592,2,R2_17
658,0.034,0.466,0.443,0.063,1.056,1.372,5,R2_18
659,0.131,1.721,1.628,0.242,1.182,5.902,10,R2_19
660,0.114,1.604,1.334,0.235,1.171,4.844,11,R2_20
661,0.038,0.852,0.439,0.088,1.143,2.602,3,R2_21
662,0.079,0.000,1.651,0.030,1.243,1.104,1,S1_1
663,0.172,1.518,3.854,0.264,1.256,6.729,10,S1_2
664,0.117,0.000,2.704,0.068,1.097,6.499,1,S1_3
665,0.241,2.386,5.419,0.272,1.268,5.242,10,S1_4
666,0.301,2.386,6.402,0.272,1.119,8.629,10,S1_5
667,0.143,2.386,3.016,0.272,1.248,11.128,10,S1_6
668,0.064,2.386,1.058,0.272,1.141,3.175,10,S1_7
669,0.107,2.386,2.142,0.272,1.073,6.247,10,S1_8
670,0.270,2.794,5.888,0.330,1.248,6.936,11.89,S1_9
671,0.031,2.794,0.612,0.330,1.249,7.981,11.89,S1_10
672,0.191,2.794,4.587,0.330,1.127,9.909,11.89,S1_11
673,0.254,2.794,5.553,0.330,1.223,12.402,11.89,S1_12
674,0.240,2.794,4.378,0.330,1.355,5.411,11.89,S1_13
675,0.183,2.794,3.914,0.330,1.124,5.286,11.89,S1_14
676,0.205,2.794,4.390,0.330,1.303,5.213,11.89,S1_15
677,0.160,2.794,3.363,0.330,1.091,4.989,11.89,S1_16
678,0.002,2.794,0.039,0.330,1.113,8.629,11.89,S1_17
679,0.112,1.144,2.261,0.194,1.174,4.806,8,S1_18
680,0.175,2.044,3.842,0.230,1.244,2.662,11.5,S1_19
681,0.162,2.044,3.479,0.230,1.196,7.405,11.5,S1_20
682,0.028,0.579,0.476,0.085,1.243,3.112,4,S2_1
683,0.002,0.498,0.030,0.056,1.135,2.162,2,S2_2
684,0.054,0.393,1.087,0.131,1.134,5.031,4,S2_3
685,0.189,2.558,3.428,0.273,1.133,9.263,9.33,S2_4
686,0.207,2.558,3.840,0.273,1.120,4.338,9.33,S2_5
687,0.048,0.970,0.725,0.058,1.121,2.267,2,S2_6
688,0.080,1.984,1.472,0.173,1.176,4.088,6.75,S2_7
689,0.151,1.984,3.326,0.173,1.190,1.318,6.75,S2_8
690,0.057,1.984,1.227,0.173,1.170,2.374,6.75,S2_9
691,0.101,1.984,2.073,0.173,1.230,7.61,6.75,S2_10
692,0.102,3.277,2.106,0.208,1.156,3.764,8.5,S2_11
693,0.154,1.930,2.985,0.288,1.260,7.034,18,S2_12
694,0.188,3.277,4.761,0.208,1.624,8.894,8.5,S2_13
695,0.160,2.558,2.894,0.273,1.271,4.828,9.33,S2_14
696,0.111,2.103,2.229,0.246,1.216,7.267,8.88,S2_15
697,0.058,2.103,0.933,0.246,1.196,6.782,8.88,S2_16
698,0.135,2.103,2.473,0.246,1.164,7.619,8.88,S2_17
699,0.110,2.103,1.900,0.246,1.141,3.322,8.88,S2_18
700,0.199,2.103,4.060,0.246,1.184,1.948,8.88,S2_19
701,0.083,2.103,1.396,0.246,1.134,5.653,8.88,S2_20
702,0.159,2.103,2.885,0.246,1.262,6.106,8.88,S2_21
703,0.100,2.103,1.780,0.246,1.195,2.855,8.88,S2_22
704,0.031,0.391,0.627,0.062,1.151,1.436,4,T1_1
705,0.012,0.000,0.228,0.044,1.085,1.277,1,T1_2
706,0.128,2.161,3.169,0.256,1.067,5.999,10,T1_3
707,0.015,0.762,0.317,0.120,1.081,5.879,4.5,T1_4
708,0.075,0.000,1.755,0.020,1.051,0.596,1,T1_5
709,0.014,0.000,0.347,0.055,1.097,1.494,3,T1_6
710,0.019,0.762,0.361,0.120,1.152,0.547,4.5,T1_7
711,0.045,0.260,0.902,0.032,1.052,0.501,3,T1_8
712,0.024,0.478,0.438,0.086,1.112,1.403,9,T1_9
713,0.044,1.374,0.918,0.132,1.079,2.938,3,T1_10
714,0.015,0.000,0.340,0.028,1.075,0.479,1,T1_11
715,0.085,0.456,2.012,0.160,1.118,2.525,5,T1_12
716,0.011,0.000,0.126,0.015,1.212,0.231,1,T2_1
717,0.012,0.025,0.119,0.074,1.071,2.238,3,T2_2
718,0.134,1.670,2.304,0.355,1.098,5.884,18,T2_3
719,0.076,1.360,1.298,0.223,1.065,4.548,10,T2_4
720,0.162,1.389,3.066,0.145,1.076,6.447,6.25,T2_5
721,0.024,1.389,0.348,0.145,1.079,2.298,6.25,T2_6
722,0.019,1.389,0.294,0.145,1.148,2.802,6.25,T2_7
723,0.042,1.299,0.487,0.157,1.116,3.638,11,T2_8
724,0.107,0.989,1.816,0.115,1.107,3.872,6.5,T2_9
725,0.048,0.059,0.646,0.022,1.086,0.365,3,T2_10
726,0.050,1.389,0.749,0.145,1.081,0.746,6.25,T2_11
727,0.157,1.918,3.101,0.271,1.067,5.765,11,T2_12
728,0.184,1.995,3.235,0.243,1.096,5.521,11,T2_13
729,0.042,0.035,0.531,0.040,1.121,0.837,3,T2_14
730,0.051,0.000,0.484,0.063,1.111,0.999,1,T2_15
731,0.023,0.000,0.330,0.031,1.097,0.546,1,T2_16
732,0.061,0.859,1.114,0.121,1.090,2.956,4,T2_17
733,0.025,0.000,0.348,0.043,1.148,0.766,1,T2_18
734,0.020,0.349,0.403,0.032,1.095,0.989,2,T2_19
735,0.033,0.989,0.543,0.115,1.092,0.197,6.5,T2_20
